"Step","AnymalC-Reach-v1_seed0_hidden_size256_lr1_gamma0.99_lamda0.8_entropy0.01 - timestep","AnymalC-Reach-v1_seed0_hidden_size256_lr1_gamma0.99_lamda0.8_entropy0.01 - timestep__MIN","AnymalC-Reach-v1_seed0_hidden_size256_lr1_gamma0.99_lamda0.8_entropy0.01 - timestep__MAX"
"116","58","58","58"
"225","112","112","112"
"342","170","170","170"
"451","224","224","224"
"588","292","292","292"
"689","342","342","342"
"1219","605","605","605"
"1590","789","789","789"
"1693","840","840","840"
"1802","894","894","894"
"1921","953","953","953"
"2383","1182","1182","1182"
"2589","1284","1284","1284"
"2694","1336","1336","1336"
"2930","1453","1453","1453"
"3039","1507","1507","1507"
"3142","1558","1558","1558"
"3432","1702","1702","1702"
"3545","1758","1758","1758"
"3660","1815","1815","1815"
"3781","1875","1875","1875"
"3916","1942","1942","1942"
"4039","2003","2003","2003"
"4291","2128","2128","2128"
"4414","2189","2189","2189"
"4537","2250","2250","2250"
"4668","2315","2315","2315"
"4777","2369","2369","2369"
"4999","2479","2479","2479"
"5283","2620","2620","2620"
"5523","2739","2739","2739"
"5648","2801","2801","2801"
"5918","2935","2935","2935"
"6033","2992","2992","2992"
"6166","3058","3058","3058"
"6301","3125","3125","3125"
"6438","3193","3193","3193"
"6551","3249","3249","3249"
"6684","3315","3315","3315"
"6819","3382","3382","3382"
"6960","3452","3452","3452"
"7212","3577","3577","3577"
"7349","3645","3645","3645"
"7726","3832","3832","3832"
"7863","3900","3900","3900"
"7990","3963","3963","3963"
"8107","4021","4021","4021"
"8480","4206","4206","4206"
"8693","4312","4312","4312"
"8828","4379","4379","4379"
"9062","4495","4495","4495"
"9199","4563","4563","4563"
"9308","4617","4617","4617"
"9439","4682","4682","4682"
"9576","4750","4750","4750"
"9705","4814","4814","4814"
"9828","4875","4875","4875"
"9953","4937","4937","4937"
"10171","5045","5045","5045"
"10308","5113","5113","5113"
"10427","5172","5172","5172"
"10685","5300","5300","5300"
"10828","5371","5371","5371"
"11076","5494","5494","5494"
"11441","5675","5675","5675"
"11556","5732","5732","5732"
"11693","5800","5800","5800"
"11802","5854","5854","5854"
"12056","5980","5980","5980"
"12183","6043","6043","6043"
"12310","6106","6106","6106"
"12409","6155","6155","6155"
"12542","6221","6221","6221"
